,MAXMES,MAXSES,TDEPTH,TDUR,TEPOCH,TPERIOD,TSNR,n_det,rmsCdpp,sector,sectors,is_toi,toi,toi_disp,TID,ID,MH,Teff,Tmag,contratio,d,dec,gallat,gallong,logg,mass,objType,pmDEC,pmRA,ra,rad,rho
000355544723_00_01,51.15135955810547,10.520687103271484,685944.0445434053,1.4999999999999998,1325.41796167528,0.463581383228302,,0,,1.0,[[1]],0.0,0.0,0.0,355544723,355544723.0,,7418.0,13.565999999999999,,1858.66,-54.076302,-43.403758,342.773104,4.13705,1.6955775000000002,STAR,-0.505195,1.55336,320.360521,1.84225,0.27119
000355544723_01_01,38.5925178527832,10.600760459899902,725185.6142132515,0.4999999999999998,1325.7047673758384,0.4635947721125748,,1,,1.0,[[1]],0.0,0.0,0.0,355544723,355544723.0,,7418.0,13.565999999999999,,1858.66,-54.076302,-43.403758,342.773104,4.13705,1.6955775000000002,STAR,-0.505195,1.55336,320.360521,1.84225,0.27119
000355544723_02_01,27.750762939453125,6.01930570602417,0.0,0.4999999999999999,1325.5516423393308,0.4635947721125748,,2,,1.0,[[1]],0.0,0.0,0.0,355544723,355544723.0,,7418.0,13.565999999999999,,1858.66,-54.076302,-43.403758,342.773104,4.13705,1.6955775000000002,STAR,-0.505195,1.55336,320.360521,1.84225,0.27119
000349518800_00_01,18.058908462524414,6.650048732757568,9009.521233806667,3.879770784183253,1326.6583776637278,2.166114405717337,24.78111267089844,0,,1.0,[[1]],1.0,407.01,PC,349518800,349518800.0,,6274.0,12.705,,683.809,-62.092491,-20.025991,273.401714,4.2574,1.22421408,STAR,14.1041,-10.3949,111.21176899999999,1.36283,0.48364799999999997
000279955276_00_01,57.40237045288086,14.000181198120115,74876.10289214512,1.8631080836736555,1325.695377964443,0.5768519951939532,149.93142700195312,0,,1.0,[[1]],0.0,0.0,0.0,279955276,279955276.0,,6123.0,10.53,0.0600600839,211.2606,-68.603767,-32.646438,279.02640499999995,4.26799,1.15624,STAR,12.2032,1.20364,82.135072,1.30841,0.5161979999999999
000279955276_01_01,16.067691802978516,4.945084095001222,18406.683601768807,1.8495857988306872,1325.4071467175274,0.5768495048961554,43.04386901855469,1,,1.0,[[1]],0.0,0.0,0.0,279955276,279955276.0,,6123.0,10.53,0.0600600839,211.2606,-68.603767,-32.646438,279.02640499999995,4.26799,1.15624,STAR,12.2032,1.20364,82.135072,1.30841,0.5161979999999999
000279955276_02_01,9.824935913085938,2.7095916271209717,9886.394042297823,1.5697989073266991,1326.0835469578653,0.5770525282155045,9.251404762268066,2,,1.0,[[1]],0.0,0.0,0.0,279955276,279955276.0,,6123.0,10.53,0.0600600839,211.2606,-68.603767,-32.646438,279.02640499999995,4.26799,1.15624,STAR,12.2032,1.20364,82.135072,1.30841,0.5161979999999999
000038573641_00_01,10.07278060913086,11.653178215026855,795.9656720288866,3.501139383149704,1332.2389165137558,15.377284220301034,8.332195281982424,0,,1.0,[[1]],0.0,0.0,0.0,38573641,38573641.0,,3683.0,8.251,,,-60.373802000000005,-42.379924,271.660786,,,STAR,10.7638,10.5234,63.725685,,
000355509914_00_01,7.868072509765625,5.178021430969238,18978.44984442076,1.2490103479643857,1326.115703371987,1.7382567088310437,9.42188835144043,0,,1.0,[[1]],1.0,202.01,PC,355509914,355509914.0,,4746.0,14.587,0.01606045,564.543,-59.087778,-57.986973,300.349017,4.52746,0.7621693,STAR,11.0711,21.0601,15.524835999999999,0.7879729999999999,1.55782
000177353450_00_01,13.125685691833494,12.693635940551758,8800.773494137296,1.162972326158978,1328.314290672618,8.406846182531467,7.967545032501223,0,,1.0,[[1]],0.0,0.0,0.0,177353450,177353450.0,,3300.0,12.52,0.157544211,,-77.185663,-26.00317,288.652471,,,STAR,69.8148,-28.1101,104.661182,,
000441357796_00_01,9985.966796875,14319.513671875,290961.6265430221,1.5,1326.8665722338087,24.94165802001953,,0,,1.0,[[1]],0.0,0.0,0.0,441357796,441357796.0,,5158.0,10.508,0.00249905861,119.11,-33.244152,-35.88714,10.002691,4.46801,0.8722105,STAR,-30.5738,48.3531,309.71235,0.90265,1.18594
000441357796_01_01,57195.87109375,127529.2109375,291141.53935078345,2.0,1325.599211606128,4.683331546844784,,1,,1.0,[[1]],0.0,0.0,0.0,441357796,441357796.0,,5158.0,10.508,0.00249905861,119.11,-33.244152,-35.88714,10.002691,4.46801,0.8722105,STAR,-30.5738,48.3531,309.71235,0.90265,1.18594
000441357796_02_01,1325.924560546875,1877.4290771484373,148280.22042653887,15.0,1327.8130996505142,13.048606133631887,,2,,1.0,[[1]],0.0,0.0,0.0,441357796,441357796.0,,5158.0,10.508,0.00249905861,119.11,-33.244152,-35.88714,10.002691,4.46801,0.8722105,STAR,-30.5738,48.3531,309.71235,0.90265,1.18594
000441357796_03_01,96.96967315673828,106.88683319091795,10226.654830038546,10.5,1329.9082377402115,11.233329048303855,,3,,1.0,[[1]],0.0,0.0,0.0,441357796,441357796.0,,5158.0,10.508,0.00249905861,119.11,-33.244152,-35.88714,10.002691,4.46801,0.8722105,STAR,-30.5738,48.3531,309.71235,0.90265,1.18594
000270038761_00_01,13.490114212036133,10.965577125549316,6825.624329921933,1.749645100910891,1327.9018915176885,17.36170385908021,7.75321626663208,0,,1.0,[[1]],0.0,0.0,0.0,270038761,270038761.0,,3343.0,11.355,0.0052903640000000005,46.25392,-28.4871,-36.510911,16.22304,4.94272,0.301,STAR,-35.52,120.41,311.7135,0.307,10.4028
000270038761_01_01,7.65620231628418,6.186914920806885,2536.7803902851033,3.555412229288204,1325.332447287764,0.7912081000684901,11.040802001953123,1,,1.0,[[1]],0.0,0.0,0.0,270038761,270038761.0,,3343.0,11.355,0.0052903640000000005,46.25392,-28.4871,-36.510911,16.22304,4.94272,0.301,STAR,-35.52,120.41,311.7135,0.307,10.4028
000149473467_00_01,25.17978286743164,8.783883094787598,698.6977860333552,3.0000000000000013,1325.8478226224047,1.0950573682785034,,0,,1.0,[[1]],0.0,0.0,0.0,149473467,149473467.0,,6331.0,9.247,0.0060387663500000004,,-61.857839,-31.932990999999998,270.941075,3.9686199999999996,1.25106,STAR,-3.0905400000000003,-14.0006,85.270489,1.92108,0.176458
000029842113_00_01,32.96457672119141,44.78098678588867,2376.965702961057,4.971635130247553,1328.5426894395152,15.504632235331064,25.504657745361328,0,,1.0,[[1]],0.0,0.0,0.0,29842113,29842113.0,-0.1,6473.8,8.75,0.007049103,110.55856299999999,-29.883453999999997,-40.885471,15.659976,4.56,1.20476,STAR,-35.8543,18.9384,316.48918199999997,1.3358,0.505448
